id,title,genre
335983,Venom,"Science Fiction,Action"
274,The Silence of the Lambs,"Crime,Drama,Thriller"
49047,Gravity,"Science Fiction,Thriller,Drama"
6479,I Am Legend,"Drama,Science Fiction,Thriller"
339403,Baby Driver,"Action,Crime"
330459,Rogue One: A Star Wars Story,"Action,Adventure,Science Fiction"
299537,Captain Marvel,"Action,Adventure,Science Fiction"
49521,Man of Steel,"Action,Adventure,Science Fiction"
20352,Despicable Me,"Family,Animation,Comedy,Crime"
857,Saving Private Ryan,"Drama,History,War"
72190,World War Z,"Action,Drama,Horror,Science Fiction,Thriller"
1124,The Prestige,"Drama,Mystery,Science Fiction"
181808,Star Wars: The Last Jedi,"Adventure,Action,Science Fiction"
333339,Ready Player One,"Science Fiction,Adventure,Action"
129,Spirited Away,"Animation,Family,Fantasy"
1892,Return of the Jedi,"Adventure,Action,Science Fiction"
424,Schindler's List,"Drama,History,War"
429617,Spider-Man: Far From Home,"Action,Adventure,Science Fiction"
558,Spider-Man 2,"Action,Adventure,Fantasy"
118,Charlie and the Chocolate Factory,"Adventure,Comedy,Family,Fantasy"
640,Catch Me If You Can,"Drama,Crime"
10193,Toy Story 3,"Animation,Family,Comedy"
1422,The Departed,"Drama,Thriller,Crime"
120467,The Grand Budapest Hotel,"Comedy,Drama"
38,Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance"
77,Memento,"Mystery,Thriller"
44214,Black Swan,"Drama,Thriller,Horror"
752,V for Vendetta,"Action,Thriller,Fantasy"
1893,Star Wars: Episode I - The Phantom Menace,"Adventure,Action,Science Fiction"
244786,Whiplash,"Drama,Music"
10528,Sherlock Holmes,"Action,Adventure,Crime,Mystery"
12155,Alice in Wonderland,"Family,Fantasy,Adventure"
101,Léon: The Professional,"Crime,Drama,Action"
285,Pirates of the Caribbean: At World's End,"Adventure,Fantasy,Action"
273248,The Hateful Eight,"Drama,Mystery,Western"
152601,Her,"Romance,Science Fiction,Drama"
1865,Pirates of the Caribbean: On Stranger Tides,"Adventure,Action,Fantasy"
122917,The Hobbit: The Battle of the Five Armies,"Action,Adventure,Fantasy"
500,Reservoir Dogs,"Crime,Thriller"
297802,Aquaman,"Action,Adventure,Fantasy"
393,Kill Bill: Vol. 2,"Action,Crime,Thriller"
353486,Jumanji: Welcome to the Jungle,"Adventure,Action,Comedy,Fantasy"
348,Alien,"Horror,Science Fiction"
1271,300,"Action,Adventure,War"
559,Spider-Man 3,"Fantasy,Action,Adventure"
447332,A Quiet Place,"Horror,Drama,Science Fiction"
920,Cars,"Animation,Adventure,Comedy,Family"
137113,Edge of Tomorrow,"Action,Science Fiction"
607,Men in Black,"Action,Adventure,Comedy,Science Fiction"
863,Toy Story 2,"Animation,Comedy,Family"
102651,Maleficent,"Fantasy,Adventure,Action,Family,Romance"
87827,Life of Pi,"Adventure,Drama"
62177,Brave,"Animation,Adventure,Comedy,Family,Action,Fantasy"
8966,Twilight,"Fantasy,Drama,Romance"
1895,Star Wars: Episode III - Revenge of the Sith,"Adventure,Action,Science Fiction"
78,Blade Runner,"Science Fiction,Drama,Thriller"
274870,Passengers,"Drama,Romance,Science Fiction"
324857,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction"
141052,Justice League,"Action,Adventure,Science Fiction"
246655,X-Men: Apocalypse,"Action,Adventure,Science Fiction,Fantasy"
264660,Ex Machina,"Drama,Science Fiction"
194662,Birdman or (The Unexpected Virtue of Ignorance),"Drama,Comedy"
157350,Divergent,"Action,Adventure,Science Fiction"
363088,Ant-Man and the Wasp,"Action,Adventure,Science Fiction"
425,Ice Age,"Animation,Comedy,Family,Adventure"
190859,American Sniper,"War,Action"
102382,The Amazing Spider-Man 2,"Action,Adventure,Fantasy"
1894,Star Wars: Episode II - Attack of the Clones,"Adventure,Action,Science Fiction"
49538,X-Men: First Class,"Action,Science Fiction,Adventure"
637,Life Is Beautiful,"Comedy,Drama"
324786,Hacksaw Ridge,"Drama,History,War"
57158,The Hobbit: The Desolation of Smaug,"Fantasy,Adventure,Action"
260513,Incredibles 2,"Action,Adventure,Animation,Family"
10191,How to Train Your Dragon,"Fantasy,Adventure,Animation,Family"
162,Edward Scissorhands,"Fantasy,Drama,Romance"
335984,Blade Runner 2049,"Science Fiction,Drama"
4922,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance"
185,A Clockwork Orange,"Science Fiction,Drama"
165,Back to the Future Part II,"Adventure,Comedy,Family,Science Fiction"
82690,Wreck-It Ralph,"Family,Animation,Comedy,Adventure"
399055,The Shape of Water,"Drama,Fantasy,Romance"
72105,Ted,"Comedy,Fantasy"
127380,Finding Dory,"Adventure,Animation,Comedy,Family"
68726,Pacific Rim,"Action,Science Fiction,Adventure"
131634,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Science Fiction"
466272,Once Upon a Time… in Hollywood,"Comedy,Drama,Thriller"
218,The Terminator,"Action,Thriller,Science Fiction"
82693,Silver Linings Playbook,"Drama,Comedy,Romance"
64682,The Great Gatsby,"Drama,Romance"
277834,Moana,"Adventure,Comedy,Family,Animation"
14161,2012,"Action,Adventure,Science Fiction"
19908,Zombieland,"Comedy,Horror"
64690,Drive,"Drama,Thriller,Crime"
280,Terminator 2: Judgment Day,"Action,Thriller,Science Fiction"
141,Donnie Darko,"Fantasy,Drama,Mystery"
